This is the report for the pamap2 Dataset

Data Distribution: 

Train:  X -> (10656, 256, 36) Class count -> [1135, 1056, 1117, 1359, 383, 926, 1031, 700, 629, 1015, 1305] 

                   frequency
lying              10.651277
sitting             9.909910
standing           10.482357
walking            12.753378
running             3.594219
cycling             8.689939
nordic walking      9.675301
ascending stairs    6.569069
descending stairs   5.902778
vacuum cleaning     9.525150
ironing            12.246621

Validation:  X -> (2044, 256, 36) Class count -> [184, 209, 173, 239, 189, 190, 202, 112, 99, 190, 257] 

                   frequency
lying               9.001957
sitting            10.225049
standing            8.463797
walking            11.692760
running             9.246575
cycling             9.295500
nordic walking      9.882584
ascending stairs    5.479452
descending stairs   4.843444
vacuum cleaning     9.295500
ironing            12.573385

Test:  X -> (1935, 256, 36) Class count -> [182, 178, 188, 198, 173, 159, 207, 104, 88, 164, 294] 

                   frequency
lying               9.405684
sitting             9.198967
standing            9.715762
walking            10.232558
running             8.940569
cycling             8.217054
nordic walking     10.697675
ascending stairs    5.374677
descending stairs   4.547803
vacuum cleaning     8.475451
ironing            15.193799

CNN Model : 2021-02-06 19:40:07.460919
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    0.868552  0.833709  1.056056      0.797456  0.000500
1    0.534390  0.932902  0.875099      0.841487  0.000500
2    0.436990  0.952515  0.783293      0.854697  0.000500
3    0.375681  0.962087  0.853127      0.814090  0.000500
4    0.322155  0.968844  0.785576      0.855675  0.000500
5    0.284959  0.974944  0.834402      0.789139  0.000500
6    0.259715  0.976445  0.802313      0.790607  0.000500
7    0.231064  0.982545  0.722322      0.820450  0.000500
8    0.205586  0.985360  0.723231      0.798924  0.000500
9    0.194115  0.984985  0.746786      0.811644  0.000500
10   0.177157  0.987894  0.756655      0.804305  0.000500
11   0.161808  0.988645  0.672831      0.824364  0.000500
12   0.156734  0.989020  0.753464      0.821429  0.000500
13   0.150200  0.988833  0.776183      0.789139  0.000500
14   0.142496  0.988739  0.691180      0.831703  0.000500
15   0.134462  0.989302  0.667231      0.845401  0.000500
16   0.120075  0.991929  0.672373      0.840020  0.000500
17   0.113965  0.992868  0.746786      0.796477  0.000500
18   0.114274  0.990897  0.774644      0.771526  0.000500
19   0.107390  0.992211  0.694814      0.802838  0.000500
20   0.102586  0.992305  0.682060      0.820939  0.000500
21   0.100240  0.991460  0.685216      0.824853  0.000500
22   0.096920  0.992117  1.087673      0.751957  0.000500
23   0.102173  0.991366  0.699502      0.830724  0.000500
24   0.088249  0.992774  0.725272      0.798924  0.000500
25   0.090698  0.992399  0.693613      0.837573  0.000500
26   0.084325  0.993337  0.766994      0.793542  0.000500
27   0.075004  0.995683  0.847989      0.772505  0.000500
28   0.076759  0.994276  0.736154      0.798924  0.000500
29   0.088234  0.991836  0.672312      0.838552  0.000500
30   0.080772  0.993994  0.713490      0.830724  0.000500
31   0.085322  0.991554  0.691418      0.834149  0.000500
32   0.079373  0.992117  0.691476      0.839041  0.000500
33   0.076462  0.993525  0.784405      0.821918  0.000500
34   0.071792  0.994932  0.828596      0.790607  0.000500
35   0.068739  0.994745  0.681408      0.822407  0.000500
36   0.073633  0.993994  0.868547      0.754403  0.000500
37   0.074588  0.992117  0.802472      0.780822  0.000500
38   0.075068  0.993337  0.801998      0.808708  0.000500
39   0.071114  0.993619  0.730402      0.841977  0.000500
40   0.075729  0.991554  0.875887      0.783268  0.000500
41   0.067205  0.993712  0.787408      0.796477  0.000500
42   0.060700  0.995871  0.655104      0.858611  0.000500
43   0.068304  0.993431  0.904877      0.776419  0.000500
44   0.066444  0.994463  0.982811      0.753914  0.000500
45   0.064574  0.994182  0.849956      0.799902  0.000500
46   0.059970  0.994932  0.833090      0.799902  0.000500
47   0.063403  0.994182  0.873491      0.787671  0.000500
48   0.059083  0.995026  0.852189      0.799413  0.000500
49   0.064222  0.993806  0.875449      0.793053  0.000500
50   0.061293  0.994557  0.822947      0.792564  0.000500
51   0.065429  0.993712  0.931759      0.795988  0.000500
52   0.061412  0.993994  0.849390      0.807241  0.000500
53   0.066751  0.992680  0.895358      0.792564  0.000500
54   0.064764  0.992868  0.753357      0.835127  0.000500
55   0.053232  0.996622  0.877301      0.792564  0.000500
56   0.053267  0.995308  0.890647      0.779843  0.000500
57   0.052757  0.995965  0.937724      0.787671  0.000500
58   0.060495  0.993900  0.846020      0.797945  0.000500
59   0.054171  0.995683  0.777944      0.846380  0.000500
60   0.061908  0.993337  0.794449      0.809198  0.000500
61   0.054865  0.994932  0.812651      0.823875  0.000500
62   0.055673  0.995120  0.817295      0.821429  0.000500
63   0.058946  0.994369  0.738480      0.847358  0.000500
64   0.064975  0.991929  1.089997      0.762231  0.000500
65   0.057009  0.993900  0.716622      0.846869  0.000500
66   0.050810  0.995965  0.677148      0.848337  0.000500
67   0.053235  0.994745  0.859943      0.789139  0.000500
68   0.058057  0.993994  0.791923      0.834638  0.000500
69   0.055343  0.994276  0.840815      0.798924  0.000500
70   0.054736  0.993994  1.222759      0.766634  0.000500
71   0.054052  0.993994  0.997185      0.773973  0.000500
72   0.054389  0.994557  1.149090      0.753425  0.000500
73   0.052427  0.994839  0.751318      0.858611  0.000500
74   0.049487  0.995965  1.096446      0.732877  0.000500
75   0.050071  0.995214  0.804289      0.852251  0.000500
76   0.043136  0.997091  1.036012      0.791585  0.000500
77   0.055797  0.994276  0.943919      0.797456  0.000500
78   0.045010  0.996528  0.830546      0.816536  0.000500
79   0.049144  0.994651  1.184164      0.756360  0.000500
