This is the report for the pamap2 Dataset

Data Distribution: 

Train:  X -> (10656, 256, 36) Class count -> [1135, 1056, 1117, 1359, 383, 926, 1031, 700, 629, 1015, 1305] 

                   frequency
lying              10.651277
sitting             9.909910
standing           10.482357
walking            12.753378
running             3.594219
cycling             8.689939
nordic walking      9.675301
ascending stairs    6.569069
descending stairs   5.902778
vacuum cleaning     9.525150
ironing            12.246621

Validation:  X -> (2044, 256, 36) Class count -> [184, 209, 173, 239, 189, 190, 202, 112, 99, 190, 257] 

                   frequency
lying               9.001957
sitting            10.225049
standing            8.463797
walking            11.692760
running             9.246575
cycling             9.295500
nordic walking      9.882584
ascending stairs    5.479452
descending stairs   4.843444
vacuum cleaning     9.295500
ironing            12.573385

Test:  X -> (1935, 256, 36) Class count -> [182, 178, 188, 198, 173, 159, 207, 104, 88, 164, 294] 

                   frequency
lying               9.405684
sitting             9.198967
standing            9.715762
walking            10.232558
running             8.940569
cycling             8.217054
nordic walking     10.697675
ascending stairs    5.374677
descending stairs   4.547803
vacuum cleaning     8.475451
ironing            15.193799

iSPLInception Model : 2021-02-08 20:04:19.499403
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    6.725713  0.883915  5.331422      0.818493  0.000500
1    3.206936  0.935529  3.345324      0.675636  0.000500
2    1.835033  0.949230  1.963830      0.869863  0.000500
3    1.189201  0.956456  1.420950      0.868885  0.000500
4    0.850855  0.960961  1.339656      0.824853  0.000500
5    0.636867  0.966404  1.147563      0.807241  0.000500
6    0.525293  0.966779  1.034434      0.820939  0.000500
7    0.451670  0.969782  1.116887      0.806262  0.000500
8    0.385036  0.973630  0.996758      0.856164  0.000500
9    0.340827  0.974756  1.298555      0.769569  0.000500
10   0.331318  0.974474  1.004219      0.833170  0.000500
11   0.285045  0.977008  0.947744      0.795988  0.000500
12   0.270391  0.978322  0.861872      0.854207  0.000500
13   0.259875  0.976914  1.033681      0.747554  0.000500
14   0.244052  0.980293  1.995923      0.630626  0.000500
15   0.258240  0.976351  0.973141      0.793542  0.000500
16   0.262713  0.977196  0.652874      0.902153  0.000500
17   0.207273  0.984047  0.809008      0.850294  0.000500
18   0.208833  0.980105  0.926221      0.782290  0.000500
19   0.196254  0.980293  1.089953      0.729452  0.000500
20   0.214348  0.977477  0.976277      0.799902  0.000500
21   0.192235  0.983671  0.934800      0.766145  0.000500
22   0.198481  0.982076  1.159512      0.804795  0.000500
23   0.200289  0.980574  1.040937      0.760274  0.000500
24   0.188589  0.984328  0.813896      0.817025  0.000500
25   0.185881  0.980950  2.172483      0.703523  0.000500
26   0.185915  0.983390  0.807212      0.823875  0.000500
27   0.165790  0.985173  0.834865      0.829256  0.000500
28   0.186052  0.982170  0.859186      0.791096  0.000500
29   0.177203  0.983577  0.657531      0.839041  0.000500
30   0.152512  0.986299  0.630557      0.883072  0.000500
31   0.180818  0.982264  0.889900      0.778865  0.000500
32   0.188148  0.982264  0.732481      0.849804  0.000500
33   0.176869  0.984703  0.821512      0.830724  0.000500
34   0.156621  0.985830  0.940824      0.775440  0.000500
35   0.148445  0.987613  0.712806      0.862035  0.000500
36   0.150267  0.984703  0.834691      0.833170  0.000500
37   0.167644  0.983577  0.726148      0.846380  0.000500
38   0.170925  0.984234  0.628394      0.876712  0.000500
39   0.159467  0.985642  0.714776      0.844912  0.000500
40   0.152985  0.984422  0.701921      0.858611  0.000500
41   0.156329  0.984516  0.616351      0.863503  0.000500
42   0.170020  0.983202  0.728383      0.863014  0.000500
43   0.154022  0.985267  0.796757      0.810665  0.000500
44   0.142196  0.988176  0.687654      0.843444  0.000500
45   0.143879  0.985642  0.559998      0.904110  0.000500
46   0.138473  0.987988  0.739657      0.868395  0.000500
47   0.131769  0.988176  0.970343      0.773973  0.000500
48   0.128328  0.989020  0.553645      0.886497  0.000500
49   0.126031  0.990334  0.974899      0.814090  0.000500
50   0.160053  0.982170  0.732971      0.851761  0.000500
51   0.149843  0.986393  0.744027      0.845890  0.000500
52   0.118676  0.990709  0.665895      0.858611  0.000500
53   0.123029  0.988457  1.059898      0.721135  0.000500
54   0.114603  0.990146  0.798286      0.833170  0.000500
55   0.115167  0.990334  0.731955      0.853718  0.000500
56   0.146056  0.985079  0.782301      0.832192  0.000500
57   0.145109  0.984140  1.206150      0.711840  0.000500
58   0.143896  0.985923  0.777127      0.812133  0.000500
59   0.121881  0.990522  0.763327      0.841977  0.000500
60   0.139123  0.986299  0.967048      0.802838  0.000500
61   0.138372  0.989114  0.680809      0.853718  0.000500
62   0.139022  0.985830  0.848408      0.795010  0.000500
63   0.122637  0.989583  0.627649      0.875734  0.000500
64   0.114600  0.989771  0.752200      0.846380  0.000500
65   0.101844  0.991836  0.634950      0.878180  0.000400
66   0.094590  0.992774  0.644431      0.869863  0.000400
67   0.092680  0.993149  0.659898      0.871331  0.000400
68   0.090989  0.993056  0.616039      0.876712  0.000400
69   0.105196  0.989959  0.662611      0.861057  0.000400
70   0.093138  0.993431  0.675608      0.859589  0.000400
71   0.083992  0.993431  0.636702      0.868395  0.000400
72   0.085161  0.993337  0.756669      0.826321  0.000400
73   0.082586  0.992868  0.624508      0.837573  0.000400
74   0.111927  0.987894  0.839025      0.837084  0.000400
75   0.096827  0.991836  0.524074      0.883072  0.000400
76   0.091238  0.990616  0.915315      0.818004  0.000400
77   0.101500  0.989583  0.809822      0.875245  0.000400
78   0.099993  0.991554  0.616110      0.869374  0.000400
79   0.103809  0.987988  0.698786      0.868885  0.000400
80   0.091495  0.992399  0.672812      0.860568  0.000400
81   0.087912  0.991554  0.827555      0.786204  0.000400
82   0.088517  0.992774  0.773286      0.800391  0.000400
83   0.089771  0.991179  0.742113      0.821918  0.000400
84   0.077261  0.994369  0.627892      0.856654  0.000320
85   0.073479  0.994088  0.679154      0.851272  0.000320
86   0.077366  0.992492  0.534548      0.871820  0.000320
87   0.072986  0.994088  0.619708      0.875245  0.000320
88   0.074095  0.993431  0.667562      0.844423  0.000320
89   0.066254  0.995214  0.575619      0.878180  0.000320
90   0.078812  0.992586  0.731995      0.802838  0.000320
91   0.079280  0.992492  0.536994      0.887965  0.000320
92   0.070203  0.994557  0.539220      0.895303  0.000320
93   0.083132  0.991648  0.940712      0.807241  0.000320
94   0.082568  0.992492  0.654154      0.867906  0.000320
95   0.098947  0.988926  0.573378      0.870842  0.000320
96   0.083281  0.991742  1.233799      0.800881  0.000320
97   0.091387  0.990709  0.677390      0.846869  0.000320
98   0.073559  0.994745  0.778262      0.811155  0.000320
99   0.068998  0.994745  0.671974      0.833659  0.000320
100  0.069307  0.994276  0.611888      0.871820  0.000256
101  0.061495  0.994932  0.581230      0.866928  0.000256
102  0.058823  0.996059  0.625001      0.849804  0.000256
103  0.068456  0.994369  0.638053      0.857632  0.000256
104  0.072345  0.993056  0.645657      0.858611  0.000256
105  0.062954  0.995402  0.614283      0.871820  0.000256
106  0.059745  0.995871  0.819962      0.808708  0.000256
107  0.059090  0.995777  0.616833      0.863014  0.000256
108  0.073802  0.992211  0.615059      0.857632  0.000256
109  0.067783  0.993900  0.587214      0.853718  0.000256
110  0.065109  0.994463  0.583160      0.866438  0.000256
111  0.062275  0.994932  0.613498      0.870352  0.000256
112  0.065092  0.994182  0.586732      0.855186  0.000256
113  0.058160  0.996340  0.516663      0.887476  0.000205
114  0.055309  0.995965  0.575653      0.875734  0.000205
115  0.056257  0.995589  0.539510      0.867906  0.000205
116  0.051178  0.996809  0.576658      0.876712  0.000205
117  0.049847  0.996622  0.586625      0.864481  0.000205
118  0.052219  0.995777  0.580572      0.869863  0.000205
119  0.052768  0.995871  0.551633      0.879158  0.000205
120  0.054462  0.995683  0.548456      0.875245  0.000205
121  0.054221  0.995214  0.668363      0.862035  0.000205
122  0.055190  0.996059  0.583672      0.856164  0.000205
123  0.053338  0.996528  0.528223      0.874266  0.000205
124  0.050957  0.996434  0.780421      0.793542  0.000205
125  0.057586  0.994276  0.525300      0.878669  0.000205
126  0.053129  0.996152  0.649398      0.831213  0.000205
127  0.052270  0.996059  0.571241      0.858611  0.000205
128  0.049808  0.996528  0.606808      0.852251  0.000164
129  0.050061  0.996809  0.598976      0.836595  0.000164
130  0.046786  0.996903  0.596341      0.855675  0.000164
131  0.045194  0.997279  0.662674      0.843933  0.000164
132  0.045984  0.996809  0.621050      0.859589  0.000164
133  0.045390  0.996528  0.537736      0.872798  0.000164
134  0.043864  0.996434  0.570619      0.871820  0.000164
135  0.051902  0.995120  0.590803      0.867906  0.000164
136  0.050438  0.995589  0.572149      0.874266  0.000164
137  0.050566  0.996246  0.583668      0.865460  0.000164
138  0.057150  0.994276  0.543266      0.869863  0.000164
139  0.047840  0.996622  0.514786      0.876712  0.000164
140  0.047762  0.996340  0.520998      0.887965  0.000164
141  0.044163  0.997185  0.561529      0.883072  0.000164
142  0.045039  0.996997  0.474045      0.891389  0.000164
143  0.042213  0.996715  0.514047      0.888943  0.000164
144  0.043541  0.996997  0.511327      0.885519  0.000164
145  0.041791  0.996997  0.477526      0.892857  0.000164
146  0.046463  0.996152  0.584493      0.867417  0.000164
147  0.042376  0.996809  0.537588      0.878180  0.000164
148  0.040991  0.997279  0.506516      0.891389  0.000164
149  0.042530  0.996246  0.559121      0.871331  0.000164
150  0.042353  0.996622  0.631292      0.856654  0.000164
151  0.049184  0.994839  0.670399      0.831703  0.000164
152  0.044101  0.996152  0.590467      0.871820  0.000164
153  0.042027  0.996903  0.553884      0.873777  0.000164
154  0.041204  0.996528  0.577513      0.876223  0.000164
155  0.043525  0.995495  0.636427      0.866928  0.000164
156  0.050135  0.995308  1.073295      0.697162  0.000164
157  0.052075  0.995120  0.507538      0.892368  0.000164
158  0.057905  0.993243  0.555513      0.887965  0.000164
159  0.053956  0.995214  0.539727      0.886497  0.000131
160  0.048505  0.995965  0.516099      0.888454  0.000131
161  0.045055  0.996809  0.615469      0.869374  0.000131
162  0.041646  0.997185  0.609699      0.849804  0.000131
163  0.042128  0.996903  0.639782      0.846869  0.000131
164  0.042004  0.997185  0.544060      0.891389  0.000131
165  0.040155  0.996903  0.582132      0.876712  0.000131
166  0.039116  0.997279  0.589813      0.873777  0.000131
167  0.040130  0.996903  0.605065      0.868395  0.000131
168  0.038011  0.997279  0.628610      0.871331  0.000131
169  0.038689  0.996903  0.559384      0.883072  0.000131
170  0.038060  0.996903  0.599304      0.875245  0.000131
171  0.039142  0.996997  0.562767      0.881605  0.000131
172  0.037209  0.997279  0.535937      0.878669  0.000131
173  0.039477  0.996340  0.738185      0.822896  0.000131
174  0.041501  0.996809  0.599185      0.871820  0.000131
175  0.038213  0.997466  0.558176      0.863992  0.000131
176  0.036382  0.997372  0.549299      0.882094  0.000131
177  0.037929  0.996997  0.543091      0.883562  0.000131
178  0.037204  0.997185  0.616475      0.868395  0.000131
179  0.038283  0.996903  0.704805      0.824364  0.000131
180  0.038737  0.996152  0.559966      0.873777  0.000131
181  0.038493  0.996715  0.618206      0.875245  0.000131
182  0.038758  0.997466  0.620717      0.863014  0.000131
183  0.041444  0.996622  0.594242      0.867417  0.000131
184  0.038743  0.996340  0.637713      0.830724  0.000131
185  0.038580  0.996809  0.742720      0.823386  0.000131
186  0.038254  0.996622  0.592852      0.875734  0.000131
187  0.035269  0.997654  0.625863      0.859100  0.000105
188  0.036223  0.997185  0.649868      0.836595  0.000105
189  0.034692  0.997654  0.618168      0.849804  0.000105
190  0.034598  0.997748  0.582595      0.853229  0.000105
191  0.034430  0.997654  0.512171      0.875734  0.000105
192  0.033794  0.997560  0.599128      0.867906  0.000105
193  0.034384  0.997185  0.614309      0.870842  0.000105
194  0.034967  0.998029  0.803207      0.819472  0.000105
195  0.033805  0.997372  0.668329      0.851761  0.000105
196  0.033808  0.997560  0.672537      0.836595  0.000105
197  0.033345  0.997372  0.664070      0.832681  0.000105
198  0.033046  0.997654  0.859082      0.782290  0.000105
199  0.034844  0.997091  0.517646      0.878669  0.000105
200  0.032795  0.997654  0.582285      0.858611  0.000105
201  0.034296  0.997466  0.585282      0.867906  0.000105
202  0.033792  0.997466  0.536382      0.875734  0.000105
203  0.036791  0.996903  0.663974      0.860568  0.000105
204  0.034674  0.997466  0.581977      0.864481  0.000105
205  0.034143  0.997842  0.579049      0.864971  0.000105
206  0.032281  0.998029  0.618025      0.860568  0.000105
207  0.032398  0.997466  0.694084      0.854697  0.000105
208  0.034083  0.997279  0.666811      0.851272  0.000105
209  0.034566  0.996809  0.652452      0.857632  0.000105
210  0.033882  0.997091  0.592036      0.861057  0.000105
211  0.034021  0.996997  0.612795      0.858121  0.000105
