This is the report for the daphnet Dataset

Data Distribution: 

Train:  X -> (7945, 192, 9) Class count -> [7251, 694] 

           frequency
No freeze  91.264946
Freeze      8.735053

Validation:  X -> (1602, 192, 9) Class count -> [1345, 257] 

           frequency
No freeze  83.957550
Freeze     16.042446

Test:  X -> (2332, 192, 9) Class count -> [2165, 167] 

           frequency
No freeze  92.838760
Freeze      7.161235

iSPLInception Model : 2021-02-06 18:07:04.913580
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    5.405303  0.920076  3.555784      0.839576  0.000500
1    2.283280  0.937697  2.077174      0.839576  0.000500
2    1.407540  0.937445  1.448155      0.841448  0.000500
3    0.979520  0.941347  1.110232      0.839576  0.000500
4    0.713411  0.946256  0.896626      0.839576  0.000500
5    0.548485  0.945249  1.023313      0.839576  0.000500
6    0.426069  0.948773  0.696402      0.840200  0.000500
7    0.364931  0.944368  0.555552      0.842697  0.000500
8    0.300328  0.948773  0.556545      0.840824  0.000500
9    0.254865  0.951416  0.509501      0.842072  0.000500
10   0.230164  0.952801  0.597421      0.847690  0.000500
11   0.220791  0.949276  0.417737      0.848315  0.000500
12   0.205693  0.953430  0.442020      0.841448  0.000500
13   0.193540  0.953807  0.391900      0.880150  0.000500
14   0.190054  0.958213  0.538354      0.840200  0.000500
15   0.177615  0.957835  0.580732      0.842072  0.000500
16   0.176294  0.957332  0.667022      0.840200  0.000500
17   0.175491  0.958464  0.418602      0.845194  0.000500
18   0.161090  0.957961  0.390880      0.867041  0.000500
19   0.153790  0.959597  0.451424      0.846442  0.000500
20   0.149867  0.959975  0.446175      0.850187  0.000500
21   0.166406  0.961863  0.419542      0.850811  0.000500
22   0.153276  0.961863  0.473682      0.851436  0.000500
23   0.148880  0.963877  0.442153      0.839576  0.000500
24   0.151525  0.960856  0.609914      0.850187  0.000500
25   0.192596  0.964506  0.535210      0.849563  0.000500
26   0.160564  0.963373  0.930778      0.838951  0.000500
27   0.140216  0.966268  0.474663      0.850187  0.000500
28   0.140255  0.967904  0.480965      0.850811  0.000500
29   0.132509  0.966646  0.860589      0.842072  0.000500
30   0.131528  0.969541  0.759246      0.839576  0.000500
31   0.127595  0.968282  0.465758      0.860799  0.000500
32   0.129229  0.970044  0.683270      0.847066  0.000500
33   0.129989  0.968534  0.457601      0.870162  0.000500
34   0.126396  0.968785  0.488474      0.846442  0.000500
35   0.120511  0.969163  0.488315      0.850811  0.000500
36   0.129041  0.968534  0.590015      0.848315  0.000500
37   0.119838  0.970422  0.991009      0.840200  0.000500
38   0.122539  0.970547  0.436769      0.829588  0.000500
39   0.116576  0.974072  0.594155      0.853933  0.000500
40   0.114449  0.971051  1.237270      0.840200  0.000500
41   0.112564  0.973820  0.492388      0.852060  0.000500
42   0.120536  0.970170  0.485376      0.859551  0.000500
43   0.111215  0.974575  1.054259      0.839576  0.000500
44   0.104712  0.975456  0.782548      0.847066  0.000500
45   0.118259  0.971177  1.034148      0.840824  0.000500
46   0.103908  0.975079  0.713322      0.839576  0.000500
47   0.107778  0.975582  0.411898      0.855805  0.000500
