This is the report for the opportunity Dataset

Data Distribution: 

Train:  X -> (3045, 90, 77) Class count -> [168, 191, 164, 167, 245, 223, 149, 136, 99, 81, 100, 79, 131, 105, 185, 704, 118] 

                  frequency
Open Door 1        5.517241
Open Door 2        6.272578
Close Door 1       5.385878
Close Door 2       5.484401
Open Fridge        8.045978
Close Fridge       7.323481
Open Dishwasher    4.893268
Close Dishwasher   4.466338
Open Drawer 1      3.251231
Close Drawer 1     2.660099
Open Drawer 2      3.284072
Close Drawer 2     2.594417
Open Drawer 3      4.302135
Close Drawer 3     3.448276
Clean Table        6.075533
Drink from Cup    23.119869
Toggle Switch      3.875205

Validation:  X -> (1087, 90, 77) Class count -> [71, 79, 64, 70, 82, 54, 50, 44, 39, 34, 44, 34, 45, 38, 68, 216, 55] 

                  frequency
Open Door 1        6.531738
Open Door 2        7.267709
Close Door 1       5.887764
Close Door 2       6.439743
Open Fridge        7.543698
Close Fridge       4.967801
Open Dishwasher    4.599816
Close Dishwasher   4.047838
Open Drawer 1      3.587857
Close Drawer 1     3.127875
Open Drawer 2      4.047838
Close Drawer 2     3.127875
Open Drawer 3      4.139834
Close Drawer 3     3.495860
Clean Table        6.255750
Drink from Cup    19.871204
Toggle Switch      5.059798

Test:  X -> (1189, 90, 77) Class count -> [76, 66, 75, 64, 78, 71, 59, 51, 52, 28, 36, 27, 43, 48, 99, 262, 54] 

                  frequency
Open Door 1        6.391926
Open Door 2        5.550883
Close Door 1       6.307822
Close Door 2       5.382675
Open Fridge        6.560135
Close Fridge       5.971405
Open Dishwasher    4.962153
Close Dishwasher   4.289319
Open Drawer 1      4.373423
Close Drawer 1     2.354920
Open Drawer 2      3.027755
Close Drawer 2     2.270816
Open Drawer 3      3.616484
Close Drawer 3     4.037006
Clean Table        8.326324
Drink from Cup    22.035322
Toggle Switch      4.541632

iSPLInception Model : 2021-02-08 13:00:17.364570
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    9.681812  0.551724  9.734685      0.379945  0.000500
1    7.167087  0.771429  8.145041      0.435143  0.000500
2    5.608492  0.841708  7.036527      0.496780  0.000500
3    4.533525  0.873563  6.111479      0.463661  0.000500
4    3.745030  0.893596  5.452829      0.460902  0.000500
5    3.160894  0.905419  4.693201      0.580497  0.000500
6    2.700766  0.922167  4.111630      0.554738  0.000500
7    2.335431  0.927422  3.648295      0.588776  0.000500
8    2.049136  0.930049  3.273874      0.634775  0.000500
9    1.785857  0.948112  2.938431      0.602576  0.000500
10   1.586033  0.948112  2.682813      0.621895  0.000500
11   1.417288  0.961905  2.485850      0.630175  0.000500
12   1.334211  0.942200  2.333167      0.637534  0.000500
13   1.216466  0.956979  2.015616      0.666973  0.000500
14   1.131678  0.951396  2.212897      0.585097  0.000500
15   1.067273  0.949097  1.774286      0.705612  0.000500
16   0.974712  0.959606  1.768623      0.692732  0.000500
17   0.892169  0.970443  1.757230      0.721251  0.000500
18   0.848997  0.964204  1.731444      0.687213  0.000500
19   0.801544  0.968144  1.607404      0.694572  0.000500
20   0.815123  0.955665  1.790985      0.658694  0.000500
21   0.760626  0.962562  1.590674      0.689972  0.000500
22   0.712613  0.965189  1.980344      0.623735  0.000500
23   0.682856  0.969787  1.294223      0.742410  0.000500
24   0.653473  0.964860  1.835483      0.622815  0.000500
25   0.661644  0.958949  1.333870      0.753450  0.000500
26   0.602459  0.970115  1.293562      0.769089  0.000500
27   0.600387  0.964860  2.521394      0.533579  0.000500
28   0.555755  0.980624  1.265390      0.766329  0.000500
29   0.530136  0.979310  1.338670      0.714811  0.000500
30   0.535301  0.971100  1.260125      0.734131  0.000500
31   0.519109  0.975041  1.374239      0.705612  0.000500
32   0.540502  0.965846  1.242290      0.756210  0.000500
33   0.525041  0.966831  1.530392      0.634775  0.000500
34   0.519465  0.973727  1.156143      0.758050  0.000500
35   0.497761  0.979310  1.240919      0.760810  0.000500
