This is the report for the pamap2 Dataset

Data Distribution: 

Train:  X -> (10656, 256, 36) Class count -> [1135, 1056, 1117, 1359, 383, 926, 1031, 700, 629, 1015, 1305] 

                   frequency
lying              10.651277
sitting             9.909910
standing           10.482357
walking            12.753378
running             3.594219
cycling             8.689939
nordic walking      9.675301
ascending stairs    6.569069
descending stairs   5.902778
vacuum cleaning     9.525150
ironing            12.246621

Validation:  X -> (2044, 256, 36) Class count -> [184, 209, 173, 239, 189, 190, 202, 112, 99, 190, 257] 

                   frequency
lying               9.001957
sitting            10.225049
standing            8.463797
walking            11.692760
running             9.246575
cycling             9.295500
nordic walking      9.882584
ascending stairs    5.479452
descending stairs   4.843444
vacuum cleaning     9.295500
ironing            12.573385

Test:  X -> (1935, 256, 36) Class count -> [182, 178, 188, 198, 173, 159, 207, 104, 88, 164, 294] 

                   frequency
lying               9.405684
sitting             9.198967
standing            9.715762
walking            10.232558
running             8.940569
cycling             8.217054
nordic walking     10.697675
ascending stairs    5.374677
descending stairs   4.547803
vacuum cleaning     8.475451
ironing            15.193799

sLSTM Model : 2021-02-15 11:20:27.087264
Model History 
         loss  accuracy  val_loss  val_accuracy       lr
0    0.985528  0.712369  1.672082      0.555773  0.00050
1    0.501831  0.866460  0.970168      0.722603  0.00050
2    0.398371  0.893393  0.967400      0.741194  0.00050
3    0.309827  0.919670  0.818786      0.770059  0.00050
4    0.281833  0.922579  1.034281      0.749022  0.00050
5    0.250412  0.932339  1.039344      0.760763  0.00050
6    0.346587  0.909816  0.847840      0.803816  0.00050
7    0.291629  0.923893  0.768099      0.775930  0.00050
8    0.228201  0.938720  0.785424      0.793542  0.00050
9    0.213948  0.944632  0.661813      0.835616  0.00050
10   0.200943  0.947447  0.926179      0.770548  0.00050
11   0.200758  0.944538  0.984015      0.757339  0.00050
12   0.240288  0.934497  1.027968      0.747065  0.00050
13   0.222406  0.940409  1.041349      0.768591  0.00050
14   0.206728  0.944351  0.935308      0.741683  0.00050
15   0.163418  0.956926  0.995070      0.749511  0.00050
16   0.151375  0.960867  0.975491      0.747065  0.00050
17   0.151280  0.959741  0.986241      0.763699  0.00050
18   0.137946  0.963776  0.886351      0.787671  0.00050
19   0.263169  0.928303  0.896638      0.758806  0.00050
20   0.189330  0.950638  0.952144      0.755871  0.00050
21   0.168456  0.956550  0.978967      0.737280  0.00050
22   0.178469  0.953360  1.192372      0.741683  0.00050
23   0.146250  0.961806  0.883771      0.776908  0.00050
24   0.246371  0.935342  0.673720      0.829256  0.00050
