This is the report for the pamap2 Dataset

Data Distribution: 

Train:  X -> (10656, 256, 36) Class count -> [1135, 1056, 1117, 1359, 383, 926, 1031, 700, 629, 1015, 1305] 

                   frequency
lying              10.651277
sitting             9.909910
standing           10.482357
walking            12.753378
running             3.594219
cycling             8.689939
nordic walking      9.675301
ascending stairs    6.569069
descending stairs   5.902778
vacuum cleaning     9.525150
ironing            12.246621

Validation:  X -> (2044, 256, 36) Class count -> [184, 209, 173, 239, 189, 190, 202, 112, 99, 190, 257] 

                   frequency
lying               9.001957
sitting            10.225049
standing            8.463797
walking            11.692760
running             9.246575
cycling             9.295500
nordic walking      9.882584
ascending stairs    5.479452
descending stairs   4.843444
vacuum cleaning     9.295500
ironing            12.573385

Test:  X -> (1935, 256, 36) Class count -> [182, 178, 188, 198, 173, 159, 207, 104, 88, 164, 294] 

                   frequency
lying               9.405684
sitting             9.198967
standing            9.715762
walking            10.232558
running             8.940569
cycling             8.217054
nordic walking     10.697675
ascending stairs    5.374677
descending stairs   4.547803
vacuum cleaning     8.475451
ironing            15.193799

CNN Model : 2021-02-15 13:01:00.231298
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    0.878782  0.836149  1.115752      0.773483  0.000500
1    0.536632  0.932245  0.842139      0.829256  0.000500
2    0.442705  0.949887  0.725148      0.855186  0.000500
3    0.376507  0.961242  0.726119      0.869863  0.000500
4    0.324949  0.968375  0.659382      0.870842  0.000500
5    0.287759  0.974287  0.618163      0.870352  0.000500
6    0.254308  0.981794  0.662646      0.848337  0.000500
7    0.224428  0.984516  0.763761      0.803816  0.000500
8    0.205426  0.985642  0.639026      0.853229  0.000500
9    0.189729  0.986017  0.638766      0.853229  0.000500
10   0.169694  0.989208  0.654934      0.853718  0.000500
11   0.167473  0.988363  0.723037      0.804305  0.000500
12   0.159332  0.988833  0.612714      0.863503  0.000500
13   0.138196  0.991929  0.601322      0.854207  0.000500
14   0.135401  0.989865  0.626506      0.850783  0.000500
15   0.131987  0.989677  0.582956      0.869863  0.000500
16   0.120620  0.991836  0.757740      0.784247  0.000500
17   0.118502  0.991742  0.578842      0.875245  0.000500
18   0.110455  0.992305  0.633333      0.857632  0.000500
19   0.113730  0.990616  0.622811      0.871331  0.000500
20   0.104515  0.992680  0.622751      0.868395  0.000500
21   0.101737  0.991273  0.776800      0.786204  0.000500
22   0.100656  0.992305  0.763734      0.795988  0.000500
23   0.099905  0.991929  0.785265      0.801370  0.000500
24   0.094798  0.991742  0.640047      0.849315  0.000500
25   0.093346  0.992868  0.753476      0.818004  0.000500
26   0.088772  0.992492  0.757916      0.810665  0.000500
27   0.088093  0.991179  0.784611      0.792564  0.000500
28   0.090288  0.991273  0.767676      0.802838  0.000500
29   0.075871  0.995214  0.647646      0.853229  0.000500
30   0.075824  0.994463  0.733343      0.828278  0.000500
31   0.079756  0.992680  0.722374      0.824853  0.000500
32   0.078980  0.992774  0.745811      0.829746  0.000500
33   0.075831  0.993525  0.722348      0.822407  0.000500
34   0.080353  0.992774  0.647723      0.864481  0.000500
35   0.069513  0.994088  0.668745      0.861546  0.000500
36   0.078295  0.991742  0.683980      0.831213  0.000500
37   0.068574  0.994651  0.777670      0.799902  0.000500
38   0.069202  0.993619  0.672798      0.840020  0.000500
39   0.065215  0.994839  0.787094      0.791585  0.000500
40   0.067595  0.993619  0.774558      0.802838  0.000500
41   0.062972  0.995495  0.819015      0.783268  0.000500
42   0.070673  0.991836  0.734496      0.830235  0.000500
43   0.064157  0.993525  1.125416      0.708904  0.000500
44   0.068306  0.992680  0.790957      0.781311  0.000500
45   0.071451  0.991366  0.771746      0.795499  0.000500
46   0.061907  0.995214  0.746161      0.804795  0.000500
47   0.069378  0.992023  0.808232      0.781800  0.000500
48   0.060702  0.994932  0.762122      0.817515  0.000500
49   0.067552  0.991836  0.809092      0.784736  0.000500
50   0.064093  0.993806  0.689746      0.817025  0.000500
51   0.063186  0.992774  0.728594      0.825832  0.000500
52   0.054999  0.995495  0.847730      0.772505  0.000500
53   0.060590  0.994088  0.675869      0.844912  0.000500
54   0.061419  0.994932  0.704600      0.848337  0.000500
55   0.057360  0.995402  0.780659      0.797945  0.000500
56   0.055785  0.995589  0.933925      0.766145  0.000500
57   0.055762  0.995402  0.789661      0.811155  0.000500
58   0.058117  0.994182  0.871891      0.767613  0.000500
59   0.061288  0.994088  0.940566      0.780822  0.000500
60   0.060516  0.993712  0.922467      0.759785  0.000500
61   0.054300  0.994839  1.044039      0.744618  0.000500
62   0.052427  0.995683  0.948314      0.772016  0.000500
63   0.056124  0.994463  0.777745      0.789139  0.000500
64   0.059469  0.994182  0.856948      0.804795  0.000500
65   0.052264  0.996152  0.770407      0.818004  0.000500
66   0.057527  0.993994  0.814013      0.811155  0.000500
67   0.052636  0.995777  0.721764      0.829256  0.000500
68   0.046026  0.997279  0.774022      0.829256  0.000500
69   0.049593  0.995589  0.798888      0.777887  0.000500
70   0.048253  0.996903  0.954650      0.776419  0.000500
71   0.059922  0.992962  0.813644      0.809687  0.000500
72   0.060189  0.992774  0.718357      0.818493  0.000500
