This is the report for the pamap2 Dataset

Data Distribution: 

Train:  X -> (10656, 256, 36) Class count -> [1135, 1056, 1117, 1359, 383, 926, 1031, 700, 629, 1015, 1305] 

                   frequency
lying              10.651277
sitting             9.909910
standing           10.482357
walking            12.753378
running             3.594219
cycling             8.689939
nordic walking      9.675301
ascending stairs    6.569069
descending stairs   5.902778
vacuum cleaning     9.525150
ironing            12.246621

Validation:  X -> (2044, 256, 36) Class count -> [184, 209, 173, 239, 189, 190, 202, 112, 99, 190, 257] 

                   frequency
lying               9.001957
sitting            10.225049
standing            8.463797
walking            11.692760
running             9.246575
cycling             9.295500
nordic walking      9.882584
ascending stairs    5.479452
descending stairs   4.843444
vacuum cleaning     9.295500
ironing            12.573385

Test:  X -> (1935, 256, 36) Class count -> [182, 178, 188, 198, 173, 159, 207, 104, 88, 164, 294] 

                   frequency
lying               9.405684
sitting             9.198967
standing            9.715762
walking            10.232558
running             8.940569
cycling             8.217054
nordic walking     10.697675
ascending stairs    5.374677
descending stairs   4.547803
vacuum cleaning     8.475451
ironing            15.193799

iSPLInception Model : 2021-02-15 15:48:52.475780
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    6.627650  0.881569  5.331985      0.657045  0.000500
1    3.078233  0.940034  3.187686      0.698141  0.000500
2    1.754250  0.950450  2.253589      0.656067  0.000500
3    1.115056  0.961993  1.811391      0.710372  0.000500
4    0.802305  0.962744  1.413040      0.792564  0.000500
5    0.610847  0.966967  1.387048      0.716732  0.000500
6    0.499058  0.969501  1.513350      0.678571  0.000500
7    0.442987  0.968375  0.940627      0.810176  0.000500
8    0.363979  0.975976  1.242578      0.710861  0.000500
9    0.343810  0.972316  1.000990      0.782779  0.000500
10   0.327859  0.973536  0.850392      0.815558  0.000500
11   0.307866  0.976070  1.051248      0.745597  0.000500
12   0.286576  0.977290  0.910550      0.814090  0.000500
13   0.244075  0.980011  1.052075      0.757339  0.000500
14   0.249562  0.978228  1.158063      0.740704  0.000500
15   0.238448  0.980105  0.693042      0.870842  0.000500
16   0.234064  0.980011  1.054997      0.726517  0.000500
17   0.205082  0.982357  0.898464      0.761742  0.000500
18   0.221894  0.977384  0.746586      0.844912  0.000500
19   0.215156  0.980856  0.653264      0.886986  0.000500
20   0.197741  0.982639  0.846091      0.795988  0.000500
21   0.195151  0.982733  0.747131      0.865460  0.000500
22   0.176749  0.985454  0.895984      0.802348  0.000500
23   0.201919  0.979542  0.760601      0.862035  0.000500
24   0.176360  0.984140  0.837530      0.830724  0.000500
25   0.179818  0.983202  0.797839      0.803327  0.000500
26   0.181097  0.982170  0.840125      0.808708  0.000500
27   0.175533  0.983953  1.055758      0.712818  0.000500
28   0.177186  0.986017  0.818191      0.872798  0.000500
29   0.176203  0.983859  0.639443      0.878669  0.000500
30   0.164554  0.986768  0.910726      0.803816  0.000500
31   0.160028  0.984234  0.772858      0.830235  0.000500
32   0.175149  0.984140  0.907035      0.776908  0.000500
33   0.159136  0.984797  0.787749      0.840998  0.000500
34   0.162179  0.983765  0.842732      0.845890  0.000500
35   0.166410  0.985173  0.866764      0.837084  0.000500
36   0.144168  0.986862  0.618059      0.876223  0.000500
37   0.135762  0.987519  0.621422      0.881115  0.000500
38   0.148992  0.985360  0.820320      0.837573  0.000500
39   0.150926  0.985736  0.634060      0.874266  0.000500
40   0.140871  0.986393  0.757516      0.840998  0.000500
41   0.129969  0.988833  1.053832      0.706947  0.000500
42   0.129577  0.987143  2.736628      0.562622  0.000500
43   0.152448  0.984703  0.858943      0.801370  0.000500
44   0.132592  0.988270  0.620066      0.877202  0.000500
45   0.150132  0.983859  0.693079      0.866438  0.000500
46   0.126579  0.989489  0.605304      0.869374  0.000500
47   0.138511  0.985454  0.741598      0.877691  0.000500
48   0.142434  0.987613  0.735552      0.806751  0.000500
49   0.143237  0.984985  0.771120      0.833659  0.000500
50   0.122104  0.989677  0.773276      0.802348  0.000500
51   0.130745  0.986956  0.798105      0.813112  0.000500
52   0.148128  0.984234  0.789921      0.805284  0.000500
53   0.135156  0.987519  0.706597      0.860078  0.000500
