This is the report for the ucihar Dataset

Data Distribution: 

Train:  X -> (7352, 128, 9) Class count -> [1226, 1073, 986, 1286, 1374, 1407] 

                    frequency
Walking             16.675735
Walking_Upstairs    14.594668
Walking_Downstairs  13.411316
Sitting             17.491838
Standing            18.688791
Laying              19.137650

Validation:  X -> (991, 128, 9) Class count -> [161, 155, 136, 167, 190, 182] 

                    frequency
Walking             16.246216
Walking_Upstairs    15.640767
Walking_Downstairs  13.723512
Sitting             16.851665
Standing            19.172554
Laying              18.365288

Test:  X -> (1956, 128, 9) Class count -> [335, 316, 284, 324, 342, 355] 

                    frequency
Walking             17.126789
Walking_Upstairs    16.155418
Walking_Downstairs  14.519427
Sitting             16.564417
Standing            17.484661
Laying              18.149284

iSPLInception Model : 2021-02-06 14:47:07.557982
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    6.333508  0.926959  5.190848      0.479314  0.000500
1    2.796373  0.947225  3.158810      0.530777  0.000500
2    1.675433  0.945049  2.254950      0.643794  0.000500
3    1.159844  0.950354  1.439319      0.863774  0.000500
4    0.868412  0.950762  0.916948      0.972755  0.000500
5    0.659909  0.951170  0.915738      0.865792  0.000500
6    0.522935  0.952530  2.641055      0.577195  0.000500
7    0.467932  0.954026  0.674341      0.934410  0.000500
8    0.380950  0.955794  1.430311      0.740666  0.000500
9    0.340919  0.955522  0.449457      0.947528  0.000500
10   0.273997  0.958379  0.588685      0.849647  0.000500
11   0.259522  0.953482  0.383666      0.947528  0.000500
12   0.238355  0.957291  0.519234      0.917255  0.000500
13   0.216078  0.958651  0.427605      0.875883  0.000500
14   0.207020  0.957427  0.669350      0.817356  0.000500
15   0.223366  0.955522  0.317447      0.949546  0.000500
16   0.196470  0.954434  0.277598      0.942482  0.000500
17   0.202193  0.954434  0.378393      0.905146  0.000500
18   0.181074  0.960011  0.342466      0.883956  0.000500
19   0.167526  0.959331  0.444037      0.880928  0.000500
20   0.158833  0.959739  0.282227      0.959637  0.000500
21   0.163410  0.958515  0.654332      0.825429  0.000500
22   0.179811  0.959603  0.395732      0.906155  0.000500
23   0.165055  0.961779  0.231113      0.971746  0.000500
24   0.161568  0.958651  0.689802      0.715439  0.000500
25   0.150567  0.961235  0.193392      0.960646  0.000500
26   0.157498  0.958379  0.259344      0.919273  0.000500
27   0.162699  0.960283  0.168588      0.968718  0.000500
28   0.138689  0.962731  0.354027      0.909183  0.000500
29   0.156875  0.957291  0.722989      0.849647  0.000500
30   0.140857  0.960283  0.239695      0.947528  0.000500
31   0.129038  0.962867  0.299729      0.911201  0.000500
32   0.134026  0.964091  0.231191      0.947528  0.000500
33   0.131312  0.960691  0.267195      0.907164  0.000500
34   0.140791  0.962051  0.225283      0.932392  0.000500
35   0.128111  0.962731  0.250711      0.949546  0.000500
36   0.148829  0.962323  0.768682      0.855701  0.000500
37   0.156632  0.960011  0.379219      0.901110  0.000500
38   0.134037  0.963275  0.310583      0.919273  0.000500
39   0.126303  0.963003  0.290796      0.932392  0.000500
40   0.152563  0.961779  0.540144      0.797175  0.000500
41   0.146584  0.963819  0.218361      0.953582  0.000500
42   0.131927  0.963955  0.539083      0.915237  0.000500
43   0.156023  0.962187  0.162777      0.965691  0.000500
44   0.127358  0.965044  0.343365      0.893037  0.000500
45   0.114995  0.967220  0.303878      0.928355  0.000500
46   0.121093  0.962187  0.198866      0.960646  0.000500
47   0.122745  0.963003  0.156627      0.963673  0.000500
48   0.122057  0.964908  0.252072      0.923310  0.000500
49   0.123445  0.967084  0.252080      0.917255  0.000500
50   0.139992  0.960691  0.155104      0.965691  0.000500
51   0.120935  0.965180  0.249605      0.938446  0.000500
52   0.128890  0.963955  0.605320      0.841574  0.000500
53   0.132315  0.966132  0.202624      0.959637  0.000500
54   0.122154  0.968852  0.272560      0.907164  0.000500
55   0.122112  0.963411  0.149843      0.979818  0.000500
56   0.108755  0.967764  0.198596      0.953582  0.000400
57   0.109052  0.966812  0.144196      0.965691  0.000400
58   0.103473  0.967628  0.187695      0.944501  0.000400
59   0.111980  0.967220  0.158379      0.963673  0.000400
60   0.110592  0.968580  0.688730      0.810293  0.000400
61   0.109913  0.969260  0.137289      0.964682  0.000400
62   0.108159  0.969396  0.216219      0.934410  0.000400
63   0.102527  0.971028  0.206679      0.941473  0.000400
64   0.103515  0.969260  0.168981      0.951564  0.000400
65   0.109936  0.967356  0.388396      0.924319  0.000400
66   0.104393  0.970756  0.143123      0.963673  0.000400
67   0.103800  0.969668  0.143918      0.966700  0.000400
68   0.103068  0.970620  0.147282      0.964682  0.000400
69   0.097886  0.971708  0.209105      0.959637  0.000400
70   0.101875  0.969124  0.429118      0.882946  0.000400
71   0.100860  0.971980  0.193087      0.957619  0.000400
72   0.099559  0.973205  0.131912      0.973764  0.000400
73   0.106867  0.970076  0.264745      0.926337  0.000400
74   0.102598  0.971844  0.115039      0.979818  0.000400
75   0.100697  0.972933  0.148221      0.978809  0.000400
76   0.097593  0.974429  0.130462      0.973764  0.000400
77   0.092662  0.975381  0.140318      0.967709  0.000400
78   0.094562  0.972933  0.131916      0.974773  0.000400
79   0.095147  0.976197  0.458530      0.898083  0.000400
80   0.098135  0.974021  0.095198      0.981837  0.000400
81   0.086435  0.977965  0.101312      0.988900  0.000400
82   0.089384  0.975381  0.094781      0.983855  0.000400
83   0.090534  0.976605  0.123162      0.962664  0.000400
84   0.089388  0.976197  0.141622      0.982846  0.000400
85   0.089409  0.976333  0.111423      0.976791  0.000400
86   0.089965  0.977829  2.173072      0.774975  0.000400
87   0.086708  0.981366  0.445308      0.901110  0.000400
88   0.088705  0.977557  0.137180      0.979818  0.000400
89   0.085964  0.979597  0.205007      0.950555  0.000400
90   0.090257  0.979461  0.102932      0.985873  0.000400
