This is the report for the ucihar Dataset

Data Distribution: 

Train:  X -> (7352, 128, 9) Class count -> [1226, 1073, 986, 1286, 1374, 1407] 

                    frequency
Walking             16.675735
Walking_Upstairs    14.594668
Walking_Downstairs  13.411316
Sitting             17.491838
Standing            18.688791
Laying              19.137650

Validation:  X -> (991, 128, 9) Class count -> [161, 155, 136, 167, 190, 182] 

                    frequency
Walking             16.246216
Walking_Upstairs    15.640767
Walking_Downstairs  13.723512
Sitting             16.851665
Standing            19.172554
Laying              18.365288

Test:  X -> (1956, 128, 9) Class count -> [335, 316, 284, 324, 342, 355] 

                    frequency
Walking             17.126789
Walking_Upstairs    16.155418
Walking_Downstairs  14.519427
Sitting             16.564417
Standing            17.484661
Laying              18.149284

sLSTM Model : 2021-02-10 13:36:07.543557
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    6.499309  0.919206  5.443264      0.448032  0.000500
1    2.963711  0.949265  3.380973      0.516650  0.000500
2    1.762820  0.943825  2.173158      0.725530  0.000500
3    1.199743  0.950490  1.567423      0.841574  0.000500
4    0.864388  0.951986  1.399934      0.765893  0.000500
5    0.687420  0.952258  0.785998      0.937437  0.000500
6    0.527102  0.954298  0.978835      0.854692  0.000500
7    0.429867  0.955250  0.734813      0.922301  0.000500
8    0.392266  0.951578  0.444281      0.951564  0.000500
9    0.305557  0.951034  0.695603      0.807265  0.000500
10   0.297780  0.955250  0.385489      0.984864  0.000500
11   0.256166  0.957427  0.402039      0.934410  0.000500
12   0.239898  0.955794  0.416050      0.924319  0.000500
13   0.221022  0.954026  0.345034      0.921292  0.000500
14   0.224205  0.955114  0.344741      0.966700  0.000500
15   0.196530  0.955658  0.259263      0.964682  0.000500
16   0.185335  0.954298  0.268266      0.955600  0.000500
17   0.175248  0.959875  0.229658      0.958628  0.000500
18   0.168017  0.957699  0.176289      0.975782  0.000500
19   0.172165  0.955930  0.845231      0.772957  0.000500
20   0.178216  0.956066  0.227399      0.964682  0.000500
21   0.163540  0.957291  0.189001      0.973764  0.000500
22   0.195740  0.954162  0.204008      0.970737  0.000500
23   0.168254  0.956610  0.375308      0.913219  0.000500
24   0.153209  0.960011  0.745802      0.797175  0.000500
25   0.156335  0.958651  0.159608      0.979818  0.000500
26   0.150815  0.960147  0.406100      0.899092  0.000500
27   0.165188  0.955930  0.260777      0.956609  0.000500
28   0.150974  0.959739  0.212783      0.971746  0.000500
29   0.137082  0.960147  0.264109      0.929364  0.000500
30   0.157437  0.956610  0.479414      0.865792  0.000500
31   0.151605  0.960419  0.154093      0.983855  0.000500
32   0.136451  0.962731  0.182488      0.977800  0.000500
33   0.133643  0.959467  0.472796      0.892028  0.000500
34   0.155639  0.960283  0.163603      0.973764  0.000500
35   0.136345  0.964772  0.223633      0.965691  0.000500
36   0.126106  0.962867  0.190221      0.954591  0.000500
37   0.138241  0.960963  0.736434      0.798184  0.000500
38   0.148965  0.965044  0.178527      0.962664  0.000500
39   0.136972  0.962867  0.226666      0.960646  0.000500
40   0.124484  0.963275  8.759172      0.318870  0.000500
41   0.127367  0.962867  0.178563      0.965691  0.000500
42   0.131522  0.964499  0.136452      0.976791  0.000500
43   0.130789  0.965996  0.178933      0.964682  0.000500
44   0.121984  0.966676  0.198809      0.957619  0.000500
45   0.142033  0.963819  0.149643      0.971746  0.000500
46   0.131509  0.969124  0.225902      0.958628  0.000500
47   0.117843  0.967628  0.171626      0.961655  0.000500
48   0.118937  0.966268  0.226534      0.946519  0.000500
49   0.118322  0.966676  0.196658      0.950555  0.000500
50   0.133055  0.965452  0.140641      0.969728  0.000500
51   0.113598  0.971844  0.237299      0.930373  0.000500
52   0.123287  0.968036  0.175730      0.942482  0.000500
53   0.110712  0.972660  0.124745      0.975782  0.000500
