This is the report for the ucihar Dataset

Data Distribution: 

Train:  X -> (7352, 128, 9) Class count -> [1226, 1073, 986, 1286, 1374, 1407] 

                    frequency
Walking             16.675735
Walking_Upstairs    14.594668
Walking_Downstairs  13.411316
Sitting             17.491838
Standing            18.688791
Laying              19.137650

Validation:  X -> (991, 128, 9) Class count -> [161, 155, 136, 167, 190, 182] 

                    frequency
Walking             16.246216
Walking_Upstairs    15.640767
Walking_Downstairs  13.723512
Sitting             16.851665
Standing            19.172554
Laying              18.365288

Test:  X -> (1956, 128, 9) Class count -> [335, 316, 284, 324, 342, 355] 

                    frequency
Walking             17.126789
Walking_Upstairs    16.155418
Walking_Downstairs  14.519427
Sitting             16.564417
Standing            17.484661
Laying              18.149284

sLSTM Model : 2021-02-10 13:49:33.710489
Model History 
         loss  accuracy  val_loss  val_accuracy      lr
0    0.691733  0.737486  2.450732      0.416751  0.0005
1    0.227371  0.924102  0.964488      0.768920  0.0005
2    0.203553  0.931719  0.332914      0.901110  0.0005
3    0.197402  0.933079  0.126010      0.965691  0.0005
4    0.148856  0.944369  0.140742      0.941473  0.0005
5    0.145953  0.946273  0.118264      0.957619  0.0005
6    0.160518  0.941513  0.132639      0.961655  0.0005
7    0.136752  0.949401  0.120051      0.968718  0.0005
8    0.130754  0.952258  0.107638      0.974773  0.0005
9    0.127189  0.951850  0.107680      0.970737  0.0005
10   0.130381  0.952666  0.116822      0.950555  0.0005
11   0.133479  0.948041  0.108373      0.967709  0.0005
12   0.130459  0.949538  0.109654      0.972755  0.0005
13   0.132282  0.949674  0.105063      0.974773  0.0005
14   0.135067  0.950762  0.117254      0.939455  0.0005
15   0.135090  0.947361  0.110392      0.962664  0.0005
16   0.128235  0.953346  0.096216      0.976791  0.0005
17   0.122052  0.952122  0.101244      0.967709  0.0005
18   0.140469  0.946545  0.130680      0.959637  0.0005
19   0.132186  0.951170  0.104505      0.975782  0.0005
20   0.128085  0.949538  0.093429      0.980827  0.0005
21   0.130114  0.950898  0.110998      0.979818  0.0005
22   0.122691  0.953482  0.103646      0.975782  0.0005
23   0.124807  0.951850  0.115344      0.949546  0.0005
24   0.124593  0.952394  0.105849      0.969728  0.0005
25   0.130718  0.953618  0.097368      0.962664  0.0005
26   0.121017  0.953890  0.094599      0.973764  0.0005
27   0.119441  0.953618  0.097223      0.975782  0.0005
28   0.125356  0.951034  0.094010      0.975782  0.0005
29   0.120145  0.954434  0.106222      0.950555  0.0005
30   0.144439  0.945321  0.130832      0.940464  0.0005
31   0.119505  0.953346  0.094390      0.971746  0.0005
32   0.123452  0.952802  0.105549      0.980827  0.0005
33   0.118688  0.954842  0.145944      0.927346  0.0005
34   0.124344  0.952938  0.089957      0.981837  0.0005
35   0.118318  0.953890  0.095390      0.976791  0.0005
36   0.113698  0.956066  0.086326      0.979818  0.0005
37   0.110133  0.957291  0.141212      0.953582  0.0005
38   0.117928  0.954706  0.091826      0.977800  0.0005
39   0.114557  0.953754  0.099223      0.971746  0.0005
40   0.114538  0.956882  0.108167      0.980827  0.0005
41   0.121447  0.951442  0.105437      0.956609  0.0005
42   0.117282  0.954706  0.098148      0.963673  0.0005
43   0.109414  0.956746  0.099247      0.976791  0.0005
44   0.116950  0.956066  0.088731      0.964682  0.0005
45   0.115962  0.956338  0.088616      0.969728  0.0005
46   0.113458  0.953890  0.099067      0.957619  0.0005
47   0.109785  0.957018  0.083476      0.983855  0.0005
48   0.120267  0.953074  0.091324      0.970737  0.0005
49   0.116925  0.955522  0.095833      0.974773  0.0005
50   0.104953  0.958923  0.085982      0.974773  0.0005
51   0.106048  0.958787  0.088807      0.975782  0.0005
52   0.107103  0.958379  0.094692      0.965691  0.0005
53   0.112808  0.956746  0.098513      0.954591  0.0005
54   0.107467  0.957291  0.095757      0.960646  0.0005
55   0.108178  0.957971  0.074816      0.976791  0.0005
56   0.111194  0.958379  0.077238      0.979818  0.0005
57   0.103437  0.960011  0.101885      0.949546  0.0005
58   0.106297  0.958651  0.094815      0.978809  0.0005
59   0.104503  0.956338  0.100962      0.958628  0.0005
