This is the report for the ucihar Dataset

Data Distribution: 

Train:  X -> (7352, 128, 9) Class count -> [1226, 1073, 986, 1286, 1374, 1407] 

                    frequency
Walking             16.675735
Walking_Upstairs    14.594668
Walking_Downstairs  13.411316
Sitting             17.491838
Standing            18.688791
Laying              19.137650

Validation:  X -> (991, 128, 9) Class count -> [161, 155, 136, 167, 190, 182] 

                    frequency
Walking             16.246216
Walking_Upstairs    15.640767
Walking_Downstairs  13.723512
Sitting             16.851665
Standing            19.172554
Laying              18.365288

Test:  X -> (1956, 128, 9) Class count -> [335, 316, 284, 324, 342, 355] 

                    frequency
Walking             17.126789
Walking_Upstairs    16.155418
Walking_Downstairs  14.519427
Sitting             16.564417
Standing            17.484661
Laying              18.149284

BiLSTM Model : 2021-02-10 15:53:55.159994
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    0.801375  0.702802  3.189795      0.494450  0.000500
1    0.221829  0.924374  1.676558      0.652876  0.000500
2    0.230357  0.919886  0.270975      0.913219  0.000500
3    0.159239  0.940424  0.189796      0.913219  0.000500
4    0.161364  0.938384  0.139961      0.946519  0.000500
5    0.159248  0.939472  0.140403      0.963673  0.000500
6    0.142071  0.948177  0.107708      0.967709  0.000500
7    0.137967  0.947769  0.148374      0.915237  0.000500
8    0.136761  0.946953  0.109599      0.964682  0.000500
9    0.133231  0.950218  0.141072      0.949546  0.000500
10   0.136065  0.947225  0.108217      0.965691  0.000500
11   0.128971  0.950626  0.117183      0.937437  0.000500
12   0.130666  0.949946  0.121011      0.954591  0.000500
13   0.131168  0.949129  0.108221      0.961655  0.000500
14   0.126639  0.952530  0.098976      0.975782  0.000500
15   0.123912  0.953210  0.104484      0.963673  0.000500
16   0.125234  0.952258  0.085307      0.987891  0.000500
17   0.123871  0.952394  0.108021      0.968718  0.000500
18   0.123976  0.954706  0.112063      0.961655  0.000500
19   0.129290  0.951714  0.176354      0.916246  0.000500
20   0.136226  0.947769  0.114050      0.961655  0.000500
21   0.119222  0.955114  0.110150      0.964682  0.000500
22   0.118750  0.954706  0.109384      0.962664  0.000500
23   0.118323  0.955114  0.095942      0.966700  0.000500
24   0.120579  0.952666  0.102819      0.965691  0.000500
25   0.117607  0.954434  0.098583      0.964682  0.000500
26   0.113135  0.956202  0.093228      0.965691  0.000500
27   0.116712  0.954978  0.094335      0.970737  0.000500
28   0.115026  0.956338  0.105486      0.962664  0.000500
29   0.119182  0.956202  0.097881      0.975782  0.000500
30   0.117126  0.955386  0.097307      0.970737  0.000500
31   0.111537  0.955930  0.126432      0.951564  0.000500
32   0.124089  0.952666  0.094379      0.970737  0.000500
33   0.112402  0.956474  0.098901      0.968718  0.000500
34   0.112603  0.956474  0.099568      0.945510  0.000500
35   0.107386  0.958787  0.101145      0.954591  0.000500
36   0.105486  0.959739  0.090020      0.975782  0.000500
37   0.109006  0.956746  0.087596      0.969728  0.000500
38   0.108185  0.958787  0.091810      0.958628  0.000500
39   0.105551  0.958515  0.097172      0.963673  0.000500
40   0.104846  0.960555  0.086898      0.971746  0.000500
41   0.102234  0.958107  0.082708      0.967709  0.000500
42   0.102565  0.961235  0.097937      0.948537  0.000500
43   0.103831  0.960283  0.082749      0.956609  0.000500
44   0.111984  0.958515  0.120771      0.959637  0.000500
