This is the report for the ucihar Dataset

Data Distribution: 

Train:  X -> (7352, 128, 9) Class count -> [1226, 1073, 986, 1286, 1374, 1407] 

                    frequency
Walking             16.675735
Walking_Upstairs    14.594668
Walking_Downstairs  13.411316
Sitting             17.491838
Standing            18.688791
Laying              19.137650

Validation:  X -> (991, 128, 9) Class count -> [161, 155, 136, 167, 190, 182] 

                    frequency
Walking             16.246216
Walking_Upstairs    15.640767
Walking_Downstairs  13.723512
Sitting             16.851665
Standing            19.172554
Laying              18.365288

Test:  X -> (1956, 128, 9) Class count -> [335, 316, 284, 324, 342, 355] 

                    frequency
Walking             17.126789
Walking_Upstairs    16.155418
Walking_Downstairs  14.519427
Sitting             16.564417
Standing            17.484661
Laying              18.149284

sLSTM Model : 2021-02-10 22:34:51.484169
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    0.693916  0.748504  2.345841      0.512614  0.000500
1    0.273373  0.909684  0.850532      0.800202  0.000500
2    0.205485  0.933079  0.384622      0.909183  0.000500
3    0.156805  0.944369  0.192222      0.962664  0.000500
4    0.159125  0.945049  0.126429      0.974773  0.000500
5    0.157725  0.943689  0.124749      0.956609  0.000500
6    0.157331  0.942465  0.135854      0.956609  0.000500
7    0.145714  0.946817  0.154820      0.964682  0.000500
8    0.141230  0.949538  0.119732      0.976791  0.000500
9    0.132575  0.951850  0.152000      0.949546  0.000500
10   0.128980  0.950626  0.134751      0.972755  0.000500
11   0.131110  0.952122  0.127103      0.953582  0.000500
12   0.133351  0.948585  0.117089      0.954591  0.000500
13   0.129261  0.951170  0.138383      0.962664  0.000500
14   0.127530  0.954706  0.126750      0.966700  0.000500
15   0.125134  0.953210  0.121829      0.955600  0.000500
16   0.138628  0.949946  0.444646      0.891019  0.000500
17   0.139489  0.947633  0.101376      0.961655  0.000500
18   0.130415  0.950354  0.110583      0.966700  0.000500
19   0.129297  0.951850  0.103872      0.961655  0.000500
20   0.118317  0.955658  0.097865      0.970737  0.000500
21   0.119292  0.956338  0.101951      0.971746  0.000500
22   0.119111  0.954842  0.166585      0.935419  0.000500
23   0.128575  0.952394  0.116474      0.968718  0.000500
24   0.119588  0.954570  0.110783      0.968718  0.000500
25   0.118195  0.956610  0.107546      0.971746  0.000500
26   0.123372  0.952802  0.102493      0.967709  0.000500
27   0.122765  0.950898  0.107867      0.960646  0.000500
28   0.119578  0.955386  0.107139      0.973764  0.000500
29   0.114536  0.955658  0.114048      0.974773  0.000500
30   0.114779  0.958379  0.123615      0.962664  0.000500
31   0.120139  0.953482  0.112761      0.967709  0.000500
32   0.116779  0.956202  0.110284      0.950555  0.000500
33   0.118381  0.953618  0.118669      0.947528  0.000500
34   0.118520  0.954842  0.100344      0.968718  0.000500
35   0.117231  0.956338  0.132245      0.945510  0.000500
36   0.115518  0.957291  0.116034      0.973764  0.000500
37   0.111032  0.958651  0.103854      0.967709  0.000500
38   0.116283  0.955930  0.101623      0.979818  0.000500
39   0.111347  0.955386  0.132551      0.963673  0.000500
40   0.121941  0.953754  0.110132      0.972755  0.000500
41   0.115490  0.956474  0.101438      0.965691  0.000500
42   0.117232  0.957563  0.097551      0.957619  0.000500
43   0.111822  0.957155  0.099758      0.979818  0.000500
44   0.116327  0.956338  0.097982      0.979818  0.000500
45   0.125927  0.949265  0.110701      0.956609  0.000500
46   0.112175  0.957018  0.119466      0.965691  0.000500
47   0.114936  0.954706  0.099216      0.974773  0.000500
48   0.112384  0.955794  0.111397      0.956609  0.000400
49   0.108678  0.957155  0.098031      0.956609  0.000400
50   0.111122  0.957155  0.107726      0.967709  0.000400
51   0.109781  0.957835  0.096545      0.970737  0.000400
52   0.105920  0.959331  0.092758      0.970737  0.000400
53   0.106999  0.959059  0.087616      0.971746  0.000400
54   0.104020  0.960827  0.094624      0.976791  0.000400
55   0.103607  0.960011  0.100824      0.969728  0.000400
56   0.103701  0.957699  0.109334      0.956609  0.000400
57   0.103687  0.960283  0.117406      0.957619  0.000400
58   0.102478  0.959059  0.093159      0.959637  0.000400
59   0.105428  0.960419  0.158109      0.953582  0.000400
60   0.110840  0.956474  0.091786      0.966700  0.000400
61   0.101330  0.961235  0.088878      0.974773  0.000400
62   0.108462  0.958787  0.083176      0.975782  0.000400
63   0.108790  0.957291  0.089485      0.959637  0.000400
64   0.111251  0.957699  0.110984      0.962664  0.000400
65   0.109145  0.958651  0.121801      0.949546  0.000400
66   0.105050  0.956066  0.098207      0.970737  0.000400
67   0.108228  0.958923  0.087028      0.974773  0.000400
68   0.107085  0.960419  0.094112      0.964682  0.000400
69   0.106030  0.959331  0.090372      0.975782  0.000400
70   0.112130  0.955114  0.097836      0.961655  0.000400
71   0.105089  0.958107  0.089001      0.977800  0.000400
72   0.102151  0.959739  0.170645      0.963673  0.000320
73   0.096726  0.961915  0.087358      0.979818  0.000320
