This is the report for the ucihar Dataset

Data Distribution: 

Train:  X -> (7352, 128, 9) Class count -> [1226, 1073, 986, 1286, 1374, 1407] 

                    frequency
Walking             16.675735
Walking_Upstairs    14.594668
Walking_Downstairs  13.411316
Sitting             17.491838
Standing            18.688791
Laying              19.137650

Validation:  X -> (991, 128, 9) Class count -> [161, 155, 136, 167, 190, 182] 

                    frequency
Walking             16.246216
Walking_Upstairs    15.640767
Walking_Downstairs  13.723512
Sitting             16.851665
Standing            19.172554
Laying              18.365288

Test:  X -> (1956, 128, 9) Class count -> [335, 316, 284, 324, 342, 355] 

                    frequency
Walking             17.126789
Walking_Upstairs    16.155418
Walking_Downstairs  14.519427
Sitting             16.564417
Standing            17.484661
Laying              18.149284

CNN Model : 2021-02-10 23:36:43.391653
Model History 
         loss  accuracy  val_loss  val_accuracy        lr
0    0.654515  0.856638  1.200383      0.629667  0.000500
1    0.430773  0.945457  0.784548      0.869828  0.000500
2    0.379628  0.952258  0.498307      0.955600  0.000500
3    0.351892  0.952394  0.390803      0.959637  0.000500
4    0.322404  0.953482  0.334819      0.957619  0.000500
5    0.303704  0.954570  0.291080      0.971746  0.000500
6    0.278181  0.959603  0.264768      0.970737  0.000500
7    0.264478  0.956202  0.275810      0.972755  0.000500
8    0.250369  0.957563  0.242905      0.965691  0.000500
9    0.238707  0.959059  0.233719      0.940464  0.000500
10   0.231152  0.958651  0.248255      0.964682  0.000500
11   0.218006  0.959467  0.263065      0.956609  0.000500
12   0.212513  0.957018  0.198116      0.974773  0.000500
13   0.200497  0.962459  0.220893      0.976791  0.000500
14   0.187853  0.961779  0.226189      0.970737  0.000500
15   0.183586  0.964091  0.206522      0.974773  0.000500
16   0.174199  0.962051  0.191731      0.979818  0.000500
17   0.168268  0.965180  0.178416      0.981837  0.000500
18   0.164681  0.966812  0.208707      0.971746  0.000500
19   0.162070  0.965044  0.179602      0.973764  0.000500
20   0.154594  0.967084  0.142069      0.985873  0.000500
21   0.151172  0.967084  0.172419      0.969728  0.000500
